"id","partner_response_id","bid_id","audience_id","country","allocation","n_delivered","quality_rejects","final_loi","final_ir","final_timeline","final_cpi","cpi","communication","engagement","problem_solving","additional_feedback","created_at","updated_at","field_close_date","commitment","timeline_days","comments","initial_cost","final_cost","savings","communication_rating","engagement_rating","problem_solving_rating"
"181","54","20","27","United States","0","0","0",,,,,"13.50",,,,,2025-04-15T14:10:51.059Z,2025-04-15T14:15:59.336Z,,"150","14","","0.00","0.00","0.00",,,
"182","54","20","25","United States","0","0","0",,,,,"13.50",,,,,2025-04-15T14:10:51.059Z,2025-04-15T14:15:59.336Z,,"50","10","","0.00","0.00","0.00",,,
"183","54","20","26","United States","0","0","0",,,,,"11.00",,,,,2025-04-15T14:10:51.059Z,2025-04-15T14:15:59.336Z,,"90","14","","0.00","0.00","0.00",,,
"184","52","20","27","United States","0","0","0",,,,,"22.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"60","10","","0.00","0.00","0.00",,,
"185","52","20","25","United States","0","0","0",,,,,"24.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"20","9","","0.00","0.00","0.00",,,
"186","52","20","26","United States","0","0","0",,,,,"23.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"40","7","","0.00","0.00","0.00",,,
"187","53","20","25","United States","0","0","0",,,,,"25.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"500","8","","0.00","0.00","0.00",,,
"188","53","20","26","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"0","0","","0.00","0.00","0.00",,,
"189","53","20","27","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"0","0","","0.00","0.00","0.00",,,
"190","51","20","27","United States","0","0","0",,,,,"27.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"225","14","","0.00","0.00","0.00",,,
"191","51","20","25","United States","0","0","0",,,,,"24.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"75","0","","0.00","0.00","0.00",,,
"192","51","20","26","United States","0","0","0",,,,,"27.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"150","17","","0.00","0.00","0.00",,,
"193","50","20","25","United States","0","0","0",,,,,"27.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"200","0","","0.00","0.00","0.00",,,
"194","50","20","26","United States","0","0","0",,,,,"30.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"200","0","","0.00","0.00","0.00",,,
"195","50","20","27","United States","0","0","0",,,,,"24.00",,,,,2025-04-15T14:15:59.336Z,2025-04-15T14:15:59.336Z,,"500","0","","0.00","0.00","0.00",,,
"196","44","17","19","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"197","44","17","20","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"198","44","17","21","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"199","42","17","19","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"200","42","17","20","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"201","42","17","21","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"202","43","17","19","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"203","43","17","20","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"204","43","17","21","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"205","41","17","19","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"206","41","17","20","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"207","41","17","21","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"208","40","17","19","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"209","40","17","20","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"210","40","17","21","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:17:14.551Z,2025-04-15T14:17:14.551Z,,"0","0","","0.00","0.00","0.00",,,
"211","59","22","29","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:26:25.326Z,2025-04-15T14:26:25.326Z,,"0","0","","0.00","0.00","0.00",,,
"212","61","22","29","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:26:25.326Z,2025-04-15T14:26:25.326Z,,"0","0","","0.00","0.00","0.00",,,
"213","60","22","29","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:26:25.326Z,2025-04-15T14:26:25.326Z,,"0","0","","0.00","0.00","0.00",,,
"214","62","22","29","United States","0","0","0",,,,,"0.00",,,,,2025-04-15T14:26:25.326Z,2025-04-15T14:26:25.326Z,,"0","0","","0.00","0.00","0.00",,,
"215","82","279","32","Andorra","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"216","82","279","32","Austria","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"217","82","279","32","Cuba","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"218","82","279","32","India","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"219","82","279","33","Andorra","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","4","","0.00","0.00","0.00",,,
"220","82","279","33","Austria","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","4","","0.00","0.00","0.00",,,
"221","82","279","33","Cuba","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","4","","0.00","0.00","0.00",,,
"222","82","279","33","India","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","4","","0.00","0.00","0.00",,,
"223","81","279","32","Andorra","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"224","81","279","32","Austria","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"225","81","279","32","Cuba","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"226","81","279","32","India","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"227","81","279","33","Andorra","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"228","81","279","33","Austria","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"229","81","279","33","Cuba","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"230","81","279","33","India","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"231","84","279","32","Andorra","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"232","84","279","32","Austria","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
"233","84","279","32","Cuba","0","0","0",,,,,"0.00",,,,,2025-04-21T06:22:18.178Z,2025-04-21T06:23:43.787Z,,"0","0","","0.00","0.00","0.00",,,
