"id","bid_id","audience_name","ta_category","broader_category","exact_ta_definition","mode","sample_required","ir","comments","created_at","updated_at"
"19","17","Audience - 1","B2C","Gen pop","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","Online","500","20.00","",2025-04-15T14:09:00.832Z,2025-04-15T14:17:14.551Z
"20","17","Audience - 2","B2C","Gen pop","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","Online","500","40.00","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
",2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z
"21","17","Audience - 3","B2C","Gen pop","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","Online","500","60.00","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
",2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z
"22","18","Audience - 1","B2C","Gen pop","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","Online","500","20.00","",2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z
"23","18","Audience - 2","B2C","Gen pop","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","Online","500","40.00","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
",2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z
"24","18","Audience - 3","B2C","Gen pop","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","Online","500","60.00","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
",2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z
"25","20","Audience - 1","B2C","Gen pop","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","Online","500","20.00","",2025-04-15T14:09:02.183Z,2025-04-15T14:09:02.183Z
"26","20","Audience - 2","B2C","Gen pop","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","Online","500","40.00","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
",2025-04-15T14:09:02.183Z,2025-04-15T14:09:02.183Z
"27","20","Audience - 3","B2C","Gen pop","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","Online","500","60.00","10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
",2025-04-15T14:09:02.183Z,2025-04-15T14:09:02.183Z
"28","21","Audience - 1","B2B","IT/B DMs","o	Midmarket (defined as organizations with 100 to 999 employees) and enterprise organizations (defined as organizations with 1,000 or more employees)
o	At least a third of day-to-day involvement/responsibility must be networking (e.g., LAN, WAN, switches, routers, edge networking, etc.) and/or cybersecurity/information security
o	Must be personally involved with at least one of the following: network security, web security, security analytics and operations, data security, SaaS security, cloud security
o	Familiar with organization’s SD-WAN services, tools, policies, and procedures
o	Familiar with secure access service edge (SASE)
o	Organization must have implemented or is planning or interested in a SASE strategy
","Online","400","20.00","",2025-04-15T14:22:51.567Z,2025-04-22T10:59:24.283Z
