"id","bid_number","bid_date","study_name","status","client","sales_contact","vm_contact","created_at","updated_at","project_requirement","methodology"
"17","40002",2025-04-13T18:30:00.000Z,"2 new quotes","draft","1","1","1",2025-04-15T14:09:00.832Z,2025-04-15T14:17:14.551Z,"1.	Business Leaders :
10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","quant"
"18","40003",2025-04-13T18:30:00.000Z,"2 new quotes","draft","1","1","1",2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z,"1.	Business Leaders :
10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","quant"
"20","40004",2025-04-13T18:30:00.000Z,"2 new quotes","draft","1","1","1",2025-04-15T14:09:02.183Z,2025-04-15T14:09:02.183Z,"1.	Business Leaders :
10-minute online survey among senior business leaders in the US (SVP and executive level leaders only) across industries 
Please provide costs for 
•	n=500 business leaders 
•	programming/hosting
•	weighting/processing of data
","quant"
"21","40005",2025-04-13T18:30:00.000Z,"Assessing SASE Progress and Best Practices - US/CA","infield","1","1","1",2025-04-15T14:22:51.567Z,2025-04-22T10:59:24.283Z,"Target organizations will be: 
Midmarket (defined as organizations with 100 to 999 employees) and enterprise organizations (defined as organizations with 1,000 or more employees)
","quant"
"22","40006",2025-04-13T18:30:00.000Z,"Assessing SASE Progress and Best Practices - US/CA","infield","1","1","1",2025-04-15T14:22:53.400Z,2025-04-22T10:59:41.702Z,"Target organizations will be: 
Midmarket (defined as organizations with 100 to 999 employees) and enterprise organizations (defined as organizations with 1,000 or more employees)
","quant"
"182","33164",2025-01-08T18:30:00.000Z,"Telecom Project - US (FS)","draft","1","1","1",2025-01-20T09:12:25.539Z,2025-04-22T10:38:36.286Z,"Standard ITDMs…Need $18 CPI to win this…","quant"
"183","33170",2025-01-12T18:30:00.000Z,"Mafia - Global (SO)","draft","1","1","7",2025-01-21T01:48:40.115Z,2025-01-21T01:48:40.115Z,"Company owners, finance managers, managing directors of small, medium and big companies ","quant"
"184","33171",2025-01-12T18:30:00.000Z,"Virgin Money - UK","draft","1","1","1",2025-01-21T02:00:51.975Z,2025-01-21T02:00:51.975Z,"Representative of businesses, with a natural fallout of small-medium businesses, Commercial businesses and Corporate / specialist businesses","quant"
"185","33174",2025-01-13T18:30:00.000Z,"New Study Opportunity - US (FS)","draft","1","1","1",2025-01-21T02:14:31.085Z,2025-01-21T02:14:31.085Z,"New Study Opportunity - US (FS)","quant"
"186","33175",2025-01-13T18:30:00.000Z,"Construction Traders - UK (SO)","draft","1","1","1",2025-01-21T02:24:43.527Z,2025-01-21T02:24:43.527Z,"M/F 18 65yo Full range of traders ranging from builders, carpenters, joiners, plumbers, landscapers, demolitionists, electricians and all tool users","quant"
"187","33176",2025-01-13T18:30:00.000Z,"Assessing the State of API Orchestration - US (SO)","draft","1","1","7",2025-01-21T02:39:47.748Z,2025-01-21T02:39:47.748Z,"●	Research target is 150 completed online surveys with software engineering leaders and practitioners and IT leaders familiar with their organization’s API technology and processes. ","quant"
"188","33177",2025-01-13T18:30:00.000Z,"Cloud App Rebuild Sentiment Study - Global (SO)","draft","1","1","7",2025-01-21T03:03:11.732Z,2025-01-21T03:03:11.732Z,"Translated languages include German and French","quant"
"189","33178",2025-01-14T18:30:00.000Z,"Prospettive Future - Italy (SO)","draft","1","1","7",2025-01-21T03:22:06.859Z,2025-01-21T03:22:06.859Z,"M/F 18 65yo age*gender, province, education, occupation","quant"
"190","33179",2025-01-13T18:30:00.000Z,"Lumi - UK (SO)","draft","1","1","1",2025-01-21T03:31:29.292Z,2025-01-21T03:31:29.292Z,"CPO’s/HR Directors/L&D leads/Influential people leads","quant"
"191","33180",2025-01-13T18:30:00.000Z,"Telkom Procurement - S. Africa (SO)","draft","1","1","7",2025-01-21T03:42:43.618Z,2025-01-21T03:42:43.618Z,"The target group is the same in each option, only the LOI/IR/N differs.","quant"
"192","33181",2025-01-14T18:30:00.000Z,"WWT - Global","draft","1","1","7",2025-01-21T04:09:37.554Z,2025-01-21T04:09:37.554Z,"Target is Managers, Directors, and VPs decision Makers of: App Development, IT infrastructure, storage, networking, automation, and AI","quant"
"193","33184",2025-01-15T18:30:00.000Z,"B2B Cloud Users - Global (SO)","draft","1","1","7",2025-01-21T05:28:30.550Z,2025-01-21T05:28:30.550Z,"For public sector we understand the challenges and we would like to know what is feasible from your side.","quant"
"194","33185",2025-01-15T18:30:00.000Z,"Another RFP for Banking - US (FS)","draft","1","1","7",2025-01-21T05:34:03.081Z,2025-01-21T05:34:03.081Z,"Business Owners of companies with $5m-$50m revenue, AND","quant"
"195","33189",2025-01-16T18:30:00.000Z,"Nice Connecting with you.","draft","25","4","1",2025-01-21T06:49:41.767Z,2025-01-21T06:53:39.179Z,"Nice Connecting with you.","quant"
"196","33190",2025-01-15T18:30:00.000Z,"Nash Squared Digi - Global (SO)","draft","1","1","7",2025-01-21T07:10:17.597Z,2025-01-21T07:10:17.597Z,"We want to target Decision Makers & IT Software recommenders (so they must have a purchase role in their company and must be working in the IT sphere).","quant"
"197","33191",2025-01-15T18:30:00.000Z,"CYL_25_0015 - US (SO)","draft","1","1","7",2025-01-21T07:28:02.171Z,2025-01-21T07:28:02.171Z,"estimate MAX feasibility, IR, CPI and FW duration.","quant"
"198","33192",2025-01-16T18:30:00.000Z,"2024 Small Business Owners - US (SO)","draft","1","1","7",2025-01-21T07:35:50.992Z,2025-01-21T07:35:50.992Z,,"quant"
"199","33193",2025-01-16T18:30:00.000Z,"Amazon Seller Segmentation - US/Canada (SO)","draft","1","1","1",2025-01-21T07:43:52.454Z,2025-01-21T07:43:52.454Z,"Amazon Seller Segmentation ","quant"
"200","33194",2025-01-18T18:30:00.000Z,"UK Energy Pulse - UK (SO)","draft","1","1","1",2025-01-24T08:07:07.906Z,2025-01-24T08:07:07.906Z,"Decision Makers in Small (10-49) and Medium (50-249) enterprises with the below roles","quant"
"201","33197",2025-01-20T18:30:00.000Z,"Calendar Study - US/Canada (SO)","draft","1","1","7",2025-01-24T08:17:46.491Z,2025-01-24T08:17:46.491Z,"o	Please let me know based on the profile breakdown below what you would anticipate IR would be for your panel","quant"
"202","33199",2025-01-20T18:30:00.000Z,"Venmo/Zelle - US (FS)","draft","1","1","7",2025-01-24T08:27:10.421Z,2025-01-24T08:27:10.421Z,"consider sole proprietor and quote at 40-60% IR.","quant"
"203","33202",2025-01-21T18:30:00.000Z,"MSFT Audience Campaigns Test - US (SO)","draft","1","1","7",2025-01-29T01:26:18.772Z,2025-01-29T01:26:18.772Z,"Creative|Spark  ","quant"
"204","33203",2025-01-22T18:30:00.000Z,"Daily Information Needs - Global","draft","1","1","7",2025-01-29T01:45:01.918Z,2025-01-29T01:45:01.918Z,"It will be n=500 per month per country. This study will run for 6 months, hence n=3,000 per country over the course of the entire tracker. ","quant"
